addon_roots,addon_cost_usd,combined_cost_usd,combined_records,combined_billable_bytes,combined_billable_gb,combined_expected_working_bytes,combined_required_free_with_headroom_bytes,budget_remaining_usd,budget_pass,storage_pass,download_authorized
ZF,5.91367763,111.15772194,57254908,13801073504,13.801074,41403220512,51754025640,8.84227806,True,True,False
6C,6.04152354,111.28556785,57622925,13895737888,13.895738,41687213664,52109017080,8.71443215,True,True,False
6A,6.49830693,111.74235124,57846395,13910722504,13.910723,41732167512,52165209390,8.25764876,True,True,False
ZF+6C,11.95520117,117.19924548,59460947,14020880944,14.020881,42062642832,52578303540,2.80075452,True,True,False
ZF+6A,12.41198456,117.65602887,59684417,14035865560,14.035866,42107596680,52634495850,2.34397113,True,True,False
6C+6A,12.53983047,117.78387478,60052434,14130529944,14.13053,42391589832,52989487290,2.21612522,True,True,False
ZF+6C+6A,18.4535081,123.69755241,61890456,14255673000,14.255673,42767019000,53458773750,-3.69755241,False,True,False
